naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
NJOKI CUCINA ITALIA.1 kg ;1010;;1.0000;kg;3.69;3.69;;;02.05.2025;3.69;8000506014107;Hrana
PUDER BECUTAN ZA DJECU 100 g;1040;Becutan;0.1000;kg;3.25;32.50;;;02.05.2025;3.25;5310001139247;Kozmetika
ULJE BECUTAN ZA DJECU 200 ml;1041;Becutan;0.2000;L;3.89;19.45;;;02.05.2025;3.89;5310001166380;Kozmetika
KUPKA BECUTAN ZA DJECU 200 ml;1042;Becutan;0.2000;L;3.49;17.45;;;02.05.2025;3.49;5310001166397;Kozmetika
©AMPON BECUTAN ZA DJECU 200 ml;1044;Becutan;0.2000;L;3.29;16.45;;;02.05.2025;3.29;5310001166410;Kozmetika
SAPUN BECUTAN DJEÈJI 90 g;1045;Becutan;0.0900;kg;1.15;12.78;;;02.05.2025;1.15;5310001138004;Kozmetika
KREMA BECUTAN ZA DJECU 50 ml;1047;Becutan;0.0500;L;2.69;53.80;;;02.05.2025;2.69;5310001146887;Kozmetika
KREMA BECUTAN ZA DJECU 100 ml;1050;Becutan;0.1000;L;3.89;38.90;;;02.05.2025;3.89;5310001146894;Kozmetika
DRES.DEVELEY SA ZAÈ 75 ml VREÆ;1059;Develey;0.0750;L;0.79;10.53;;;02.05.2025;0.79;4006824028219;Hrana
DRES.DEVELEY JOG 75 ml VREÆICA;1078;Develey;0.0750;l;0.79;10.53;;;02.05.2025;0.79;4006824018111;Hrana
BRA©NO T-1100 FARINA 1 kg;1079;;1.0000;kg;1.09;1.09;;;02.05.2025;1.12;3859890160144;Hrana
MED MELBI LIPA 450 g;1090;Melbi;0.4500;kg;8.62;19.16;;;02.05.2025;8.62;38502095;Hrana
KR.DEZODORANTSKA LIDERA 50 ml;1104;Lidera;0.0500;L;3.58;71.60;;;02.05.2025;3.58;3838980810121;Kozmetika
©EÆER SMEÐI LARA PVC 1 kg;1130;;1.0000;kg;3.99;3.99;;;02.05.2025;3.99;3859890118145;Hrana
MED MELBI CVJETNI 450 g;1141;Melbi;0.4500;kg;8.22;18.27;;;02.05.2025;8.22;38502002;Hrana
JOG.VOÆ.JOGOB.CLASS.ZOTT 150 g;1187;Zott;0.1500;kg;0.66;4.40;;;02.05.2025;0.66;4014500503646;Hrana
JOG.VOÆ.JOGOB.EXOTI.ZOTT 150 g;1188;Zott;0.1500;kg;.79;5.27;;;02.05.2025;.79;4014500503684;Hrana
INDIJSKI ORA©.SEEBERGER 150 g ;1196;Seeberger;0.1500;kg;5.99;39.93;;;02.05.2025;5.99;4008258038000;Hrana
PIVO BUDWEISER PR. 0,5 L LIM;1205;Budweiser Budvar;0.5000;L;1.59;3.18;;;02.05.2025;1.59;8594403709797;Piæa
LIKER JAGERMEISTER 1 L;1210;;1.0000;l;22.39;22.39;;;02.05.2025;22.39;4067700015013;Piæa
LIKER JAGERMEISTER 0,7 L;1212;;0.7000;l;16.99;24.27;;;02.05.2025;16.99;4067700032935;Piæa
SREDSTVO PERMETAL 650 ml ;1269;Permetal;0.6500;L;2.89;4.45;;;02.05.2025;2.89;3850111753596;Sredstva za èi¹æenje
SPU®VA GLITZI CRYSTAL 1/1;1280;;1.0000;kom;1.99;1.99;;;02.05.2025;1.99;3838447000294;Proizvodi za kuæanstvo
SPU®VA RAINBOW 10/1;1334;;10.0000;kom;4.29;0.43;;;02.05.2025;4.29;4023103242944;Proizvodi za kuæanstvo
SPU®VA PURACTIVE ZA ISPIR. 2/1;1336;;2.0000;kom;2.19;1.10;;;02.05.2025;2.19;4023103083943;Proizvodi za kuæanstvo
KRPA SPU®VASTA 3/1;1343;;3.0000;kom;4.99;1.66;;;02.05.2025;4.99;3838447000072;Proizvodi za kuæanstvo
KAVA MLJEVENA ANAMARIA 500 g;1433;Anamarija;0.5000;kg;9.49;18.98;;;02.05.2025;9.49;3858881770034;Piæa
KAVA ANAMARIA 250 g ;1436;Anamarija;0.2500;kg;4.99;19.96;;;02.05.2025;4.99;3858881770027;Piæa
KREMA NIVEA 75 ml ;1560;Nivea;0.0750;L;3.15;42.00;;;02.05.2025;3.15;42163176;Kozmetika
KREMA NIVEA SOFT 200 ml;1564;Nivea;0.2000;L;6.29;31.45;;;02.05.2025;6.29;4005808758968;Kozmetika
KREMA NIVEA SOFT 100 ml;1565;Nivea;0.1000;L;5.79;57.90;;;02.05.2025;5.79;4005808760435;Kozmetika
KREM.NIVEA SOFT U TUBI 75 ml;1566;Nivea;0.0750;L;5.15;68.67;;;02.05.2025;5.15;4005808760404;Kozmetika
MLIJEKO NIVEA ZA TIJELO 250 ml;1567;Nivea;0.2500;L;5.99;23.96;;;02.05.2025;5.99;4005808246205;Kozmetika
MLIJEKO ZA TIJELO NIVEA 400 ml;1568;Nivea;0.4000;L;6.99;17.48;;;02.05.2025;6.99;4005808237029;Kozmetika
LOSION ZA TIJ.NIVEA Q10 400 ml;1572;Nivea;0.4000;L;6.99;17.48;;;02.05.2025;6.99;4005808702787;Kozmetika
PJENA ZA KOSU NIVEA-VOL.150 ml;1582;Nivea;0.1500;L;4.99;33.27;;;02.05.2025;4.99;4005808261369;Kozmetika
GEL ZA KOSU NIVEA 150 ml;1584;Nivea;0.1500;L;4.99;33.27;;;02.05.2025;4.99;4005900173966;Kozmetika
GEL ZA KOSU NIVEA KREM.150 ml ;1587;Nivea;0.1500;L;6.49;43.27;;;02.05.2025;6.49;42246534;Kozmetika
MLIJEKO NIVEA VISAGE 200 ml;1588;Nivea;0.2000;L;8.59;42.95;;;02.05.2025;8.59;4005808195145;Kozmetika
LOS.NIVEA VISAGE ZA ODS.125 ml;1594;Nivea;0.1250;L;8.59;68.72;;;02.05.2025;8.59;4005900090942;Kozmetika
BLAZINICE NIVEA VISAGE 80/1;1608;Nivea;80.0000;kom;;0.03;2.29;2.89;02.05.2025;2.89;9005800046334;Toaletne potrep¹tine
REGEN.COLOR PROTECTION 200 ml;1697;Nivea;0.2000;L;3.69;18.45;;;02.05.2025;3.69;42246480;Kozmetika
GEL TU©.NIVEA CREME SOF.250 ml;1707;Nivea;0.2500;L;2.99;11.96;;;02.05.2025;2.99;9005800222882;Kozmetika
KR.DNEVNA NIVEA VISAGE 50 ml;1736;Nivea;0.0500;L;9.49;189.80;;;02.05.2025;9.49;9005800227207;Kozmetika
KRE.DNE.NIVEA VISAGE Q10 50 ml;1746;Nivea;0.0500;L;15.59;311.80;;;02.05.2025;15.59;9005800227238;Kozmetika
KRE.NIVEA NOÆ.VISAGE Q10 50 ml;1747;Nivea;0.0500;L;15.59;311.80;;;02.05.2025;15.59;9005800227269;Kozmetika
DEO ROLL ON NIVEA DRY CO.50 ml;1776;Nivea;0.0500;L;4.99;99.80;;;02.05.2025;4.99;42241706;Kozmetika
DEO SPR.NIVEA FRESH ACT.150 ml;1780;Nivea;0.1500;L;4.99;33.27;;;02.05.2025;4.99;9005800373331;Kozmetika
DEO SPRAY NIVEA FRESH N.150 ml;1782;Nivea;0.1500;L;4.99;33.27;;;02.05.2025;4.99;4005808723256;Kozmetika
DEO ROLL ON NIVEA FRESH 50 ml;1784;Nivea;0.0500;L;4.99;99.80;;;02.05.2025;4.99;42242864;Kozmetika
DEO ROLL ON NIVEA FRESH 50 ml;1785;Nivea;0.0500;L;4.99;99.80;;;02.05.2025;4.99;42241553;Kozmetika
DEO SPR.NIVEA COOL KICK 150 ml;1798;Nivea;0.1500;L;4.99;33.27;;;02.05.2025;4.99;4005808730377;Kozmetika
DEO ROLL ON NIVEA AQUA C.50 ml;1811;Nivea;0.0500;L;4.99;99.80;;;02.05.2025;4.99;42241980;Kozmetika
AS NIVEA BALS.SENSITIV 100 ml;1820;Nivea;0.1000;L;;55.90;5.59;7.49;02.05.2025;7.49;4005808228706;Kozmetika
FLIPS BIG PEP SMOK.BA.CHI.65 g;1913;Chio;0.0650;kg;1.69;26.00;;;02.05.2025;1.69;5997312702065;Hrana
CAPPUCCINO ANAMARIA 200 g;1916;Anamarija;0.2000;kg;2.59;12.95;;;02.05.2025;2.59;3858881770447;Piæa
PJENA NIVEA MILD 200 ml;1939;Nivea;0.2000;L;;14.95;2.99;3.99;02.05.2025;4.79;4005808228980;Kozmetika
PJENA NIVEA SENSITIVE 200 ml;1940;Nivea;0.2000;L;;14.95;2.99;3.99;02.05.2025;4.79;4005808310715;Kozmetika
KREMA ZA RUKE ATRIX 150 ml;1966;Atrix;0.1500;L;3.39;22.60;;;02.05.2025;3.39;9005800375519;Kozmetika
LABELLO CLASSIC 4,8 g;1975;Labello;1.0000;kom;2.99;2.99;;;02.05.2025;2.99;9005800362861;Kozmetika
LABELLO MED REPAIR 4,8 g;1983;Labello;1.0000;kom;3.49;3.49;;;02.05.2025;3.49;9005800362908;Kozmetika
HANSAPLAST UNIVERSAL 40 KOM;2005;Hansaplast;40.0000;kom;;0.09;3.49;4.29;02.05.2025;4.29;4005800239458;Toaletne potrep¹tine
FLIPS BOBI 40 g  ;2094;Bobi;0.0400;kg;0.59;14.75;;;02.05.2025;0.59;3858891590004;Hrana
FLIPS BOBI 90 g ;2095;Bobi;0.0900;kg;0.95;10.56;;;02.05.2025;0.95;3858891590042;Hrana
PA©TETA ARGETA KOKO©JA 95 g;2110;Argeta;0.0950;kg;1.39;14.63;;;02.05.2025;1.39;3838975567009;Hrana
HRANA ZA PSE HO.DOG GOV.1240 g;2112;Hobby;1.2400;kg;3.19;2.57;;;02.05.2025;3.19;3838964223558;Proizvodi za kuæanstvo
HRANA ZA PSE HO.DOG PER.1240 g;2119;Hobby;1.2400;kg;3.19;2.57;;;02.05.2025;3.19;3838964123605;Proizvodi za kuæanstvo
HRANA ZA HRÈKE  HOBBY 500 g ;2159;Hobby;0.5000;kg;1.89;3.78;;;02.05.2025;1.85;3838964055555;Proizvodi za kuæanstvo
HRANA ZA ZAMORCE HOBBY 500 g;2161;Hobby;0.5000;kg;1.89;3.78;;;02.05.2025;1.85;3838964055609;Proizvodi za kuæanstvo
HRANA ZA KUNIÆE HOBBY500 g ;2162;Hobby;0.5000;kg;1.89;3.78;;;02.05.2025;1.85;3838964109487;Proizvodi za kuæanstvo
HRANA ZA PAPIGE HOBBY 500 g;2165;Hobby;0.5000;kg;1.99;3.98;;;02.05.2025;1.92;3838964001200;Proizvodi za kuæanstvo
HRANA ZA SREDNJE PAPIGE 500 g;2166;Hobby;0.5000;kg;1.89;3.78;;;02.05.2025;1.85;3838964001101;Proizvodi za kuæanstvo
BLAZINICE LOLETE SENSITIV 85/1;2190;Lola;85.0000;kom;1.65;0.02;;;02.05.2025;1.65;3858881100244;Toaletne potrep¹tine
PIJESAK ZA MAÈKE CLEAN 5 kg;2216;Hobby;1.0000;kom;4.19;4.19;;;02.05.2025;4.19;3838964112159;Proizvodi za kuæanstvo
VATA LOLA SENSITIVE 50 g;2227;Lola;0.0500;kg;1.19;23.80;;;02.05.2025;1.19;3858881100015;Toaletne potrep¹tine
VATA LOLA CIK-CAK 100 g;2229;Lola;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;3858881100619;Toaletne potrep¹tine
VATA LOLA SENSITIVE 100 g;2230;Lola;0.1000;kg;1.95;19.50;;;02.05.2025;1.95;3858881100022;Toaletne potrep¹tine
PUDER ZA TI.FELCE AZZURA 100 g;2328;Felce Azzurra;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;8001280026102;Kozmetika
KAVA BARCAFFE 100 g ;2379;Barcaffe;0.1000;kg;2.79;27.90;;;02.05.2025;2.79;3838975531628;Piæa
PA©TETA ARGETA KOKO©JA 45 g;2497;Argeta;0.0450;kg;.93;20.67;;;02.05.2025;.93;38381423;Hrana
PA©TETA ARGETA JETRENA 95 g;2521;Argeta;0.0950;kg;1.39;14.63;;;02.05.2025;1.39;3838975567030;Hrana
MIX ZA RI®OTO ZMH 350 g ;3188;;0.3500;kg;3.39;9.69;;;02.05.2025;3.39;3859889284042;Hrana
DAGNJE FROZY 350 g;3202;Frozy;0.3500;kg;3.49;9.97;;;02.05.2025;3.49;3859889284301;Hrana
KOZICE OÈI©ÆENE FROZY 350 g;3209;Frozy;0.3500;kg;4.49;12.83;;;02.05.2025;4.49;3859889284325;Hrana
PROLJETNI PRIPRAV.FROZY 350 g;3218;Frozy;0.3500;kg;2.99;8.54;;;02.05.2025;2.99;3859889284196;Hrana
JU©NE CROUTONS KOCKICE 100 g;3273;;0.1000;kg;2.19;21.90;;;02.05.2025;2.19;4000186040407;Hrana
JU©NE CROUTONS KO.ZAÈINI 100 g;3278;;0.1000;kg;2.19;21.90;;;02.05.2025;2.19;4000186040421;Hrana
JU©NE CROUTONS KO.LUK/ÈE©.100g;3284;;0.1000;kg;2.19;21.90;;;02.05.2025;2.19;4000186040506;Hrana
PALENTA ZLATO POLJE VREÆ.450 g;3293;Zlato Polje;0.4500;kg;1.49;3.31;;;02.05.2025;1.49;3838700540147;Hrana
PALENTA ZLATO POLJE VREÆ.250 g;3294;Zlato Polje;0.2500;kg;0.99;3.96;;;02.05.2025;0.99;3838700540116;Hrana
TJES.FLAVIO FUSILLI 500 g ;3483;Flavio;0.5000;kg;1.85;3.70;;;02.05.2025;1.85;8025202002500;Hrana
TJES.FLAVIO PENNE RIGATE 500 g;3486;Flavio;0.5000;kg;1.85;3.70;;;02.05.2025;1.85;8025202002470;Hrana
TJES.FLAVIO PIPE RIGATE 500 g;3487;Flavio;0.5000;kg;1.85;3.70;;;02.05.2025;1.85;8025202002463;Hrana
ÈOKOLADA RIKI RI®A ORIG.300 g;3500;Riki;0.3000;kg;5.29;17.63;;;02.05.2025;5.29;3858881040472;Hrana
ÈOKOLADA RIKI RI®A ORIG.200 g;3502;Riki;0.2000;kg;3.85;19.25;;;02.05.2025;3.85;3858881040458;Hrana
ÈOKO.ZA KUH.DESSERT CHEF 100 g;3528;Kandit;0.1000;kg;;16.90;1.69;1.99;02.05.2025;1.99;3858881040335;Hrana
ÈOKO.ZA KUH.DESSERT CHEF 200 g;3530;Kandit;0.2000;kg;;13.45;2.69;3.79;02.05.2025;3.79;3858881040298;Hrana
BOMB.MENTOL ZELENI KANDI.100 g;3552;Kandit;0.1000;kg;0.85;8.50;;;02.05.2025;0.85;3858881043466;Hrana
BRIT.WILKINSON PRON.JEDN.5/1;3599;Wilkinson;1.0000;kom;1.99;1.99;;;02.05.2025;1.99;4027800080137;Kozmetika
BRIT.WILKINSON DUPLO JEDNO.5/1;3601;Wilkinson;1.0000;kom;2.99;2.99;;;02.05.2025;2.99;40278063;Kozmetika
BRIJ.WILKINSON EXTRA 2 SEN.5+2;3605;Wilkinson;5.0000;kom;3.49;0.70;;3.39;02.05.2025;4.59;4027800348206;Kozmetika
PATRONE WILKINSON BLISTER 5/1;3607;Wilkinson;5.0000;kom;1.39;0.28;;1.29;02.05.2025;1.49;4027800011209;Kozmetika
ÈOK.RITTER SP.RUM-LJE.GR.100 g;3621;Ritter Sport;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;4000417012005;Hrana
ÈOK.RITTER SPORT PRALINE 100 g;3626;Ritter;0.1000;kg;1.79;17.90;;;02.05.2025;1.79;4000417026002;Hrana
KEKS GRIESSON DUO KAKAO 500 g;3652;Griesson;0.5000;kg;3.69;7.38;;;02.05.2025;3.69;4001518117170;Hrana
KEKS GRIESSON COOKIE NUT 150 g;3710;Griesson;0.1500;kg;2.39;15.93;;;02.05.2025;2.39;4001518001219;Hrana
KEKS GRIESSON COOK.CLAS.150 g ;3715;Griesson;0.1500;kg;2.39;15.93;;;02.05.2025;2.39;4001518116999;Hrana
OCAT ACETO BALSAM.DUOMO 250 ml;3733;;0.2500;L;3.49;13.96;;;02.05.2025;3.49;8014347000458;Hrana
OCAT ACETO BALSAM.DUOMO 500 ml;3734;Il Torrione;0.5000;l;3.99;7.98;;;02.05.2025;3.99;8014347000465;Hrana
BRIT.WILKINSON EXTR.2 BEA.5+2;3782;Wilkinson;5.0000;kom;4.59;0.92;;;02.05.2025;4.59;4027800576159;Kozmetika
KAVA MLJEVENA GLORIA 500 g;3860;Gloria;0.5000;kg;9.49;18.98;;;02.05.2025;9.49;3858881088184;Piæa
KAVA GLORIA 250 g;3876;Gloria;0.2500;kg;5.09;20.36;;;02.05.2025;5.09;3858881084872;Piæa
Per¹in list rfs;3920;;1.0000;kg;5.99;5.99;;;02.05.2025;5.99;3859891904297;Hrana
KUKURUZ ©EÆ.BONDUELLE 170 g;3944;Bonduelle;0.1400;kg;1.23;8.79;;;02.05.2025;1.23;3083680074094;Hrana
TOALETNA TORBICA BASIC ;3955;Vedeta;1.0000;kom;13.27;13.27;;;02.05.2025;13.27;3858883857702;Toaletne potrep¹tine
KUKURUZ ©EÆ.BONDUELLE 530 g;3956;Bonduelle;0.3600;kg;2.79;7.75;;;02.05.2025;2.79;3083680015424;Hrana
TOALETNA TORBICA GOLF MAXI ;3960;Vedeta;1.0000;kom;10.61;10.61;;;02.05.2025;10.61;3858883853278;Toaletne potrep¹tine
TOALETNA TORBICA GOLF MINI ;3961;Vedeta;1.0000;kom;9.35;9.35;;;02.05.2025;9.35;3858883853285;Toaletne potrep¹tine
KUKURUZ ©EÆ.BONDUELLE 670 g;3969;Bonduelle;0.5700;kg;3.89;6.82;;;02.05.2025;3.89;3083681024258;Hrana
Poriluk rfs;3987;Eigenbedarf;1.0000;kg;;0.99;0.99;1.19;02.05.2025;1.99;3858893251484;Hrana
TOALETNA TORBICA IDA MAXI;3988;Vedeta;1.0000;kom;6.63;6.63;;;02.05.2025;6.63;3858883856101;Toaletne potrep¹tine
Radiè rfs;3996;;1.0000;kg;4.99;4.99;;;02.05.2025;4.99;3858885877265;Hrana
Luk ¾uti rfs;4015;Eigenbedarf;1.0000;kg;0.84;0.84;;;02.05.2025;0.84;3858885871041;Hrana
Rajèica rfs;4018;;1.0000;kg;1.99;1.99;;;02.05.2025;2.49;3858885877289;Hrana
Paprika babura rfs;4025;;1.0000;kg;;1.69;1.69;2.99;02.05.2025;3.99;3858885876060;Hrana
Dinja ;4037;;1.0000;kg;2.99;2.99;;;02.05.2025;3.49;3858893251545;Hrana
GRA©AK BONDUELLE 200 g;4055;Bonduelle;0.1300;kg;1.65;12.69;;;02.05.2025;1.65;3083680538404;Hrana
GRA©AK BONDUELLE 400 g ;4057;Bonduelle;0.2650;kg;1.89;7.13;;;02.05.2025;1.89;3083680047364;Hrana
GRA©AK BONDUELLE 800 g;4063;Bonduelle;0.5300;kg;3.39;6.40;;;02.05.2025;3.39;3083680004275;Hrana
LEÆA BONDUELLE 400 g ;4099;Bonduelle;0.2650;kg;2.69;10.15;;;02.05.2025;2.69;3083680996044;Hrana
GRAH BONDUELLE BIJELI 400 g;4106;Bonduelle;0.2400;kg;2.49;10.38;;;02.05.2025;2.49;3083680001663;Hrana
ZUB.PASTA AQUAFRESH 75 ml;4126;Aquafresh;0.0750;L;2.19;29.20;;;02.05.2025;2.19;5999518578048;Kozmetika
ZUB.PASTA AQUAFRESH 75 ml;4132;Aquafresh;0.0750;L;2.19;29.20;;;02.05.2025;2.19;5999518578031;Kozmetika
GRAH BONDUELLE CRVENI 400 g;4134;Bonduelle;0.2400;kg;2.79;11.63;;;02.05.2025;2.79;3083680009508;Hrana
ZUB.PASTA AQUAFRESH 75 ml;4135;Aquafresh;0.0750;L;2.19;29.20;;;02.05.2025;2.19;5054563199669;Kozmetika
ZUB.PAS.AQUAFRESH MILD 100 ml;4143;Aquafresh;0.1000;L;2.89;28.90;;;02.05.2025;2.69;5999518578079;Kozmetika
ZUB.PAS.AQUAFRESH FRESH 100 ml;4147;Aquafresh;0.1000;L;2.89;28.90;;;02.05.2025;2.69;5054563203649;Kozmetika
GRAH BONDUELLE MEXICANA 430 g;4170;Bonduelle;0.2000;kg;2.09;10.45;;;02.05.2025;2.09;3083680495882;Hrana
®VAKE ORBIT DRA®.PEPERMIN.14 g;4211;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;50173204;Hrana
®VAKE ORBIT DRA®EJE WINT.14 g;4213;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;50173976;Hrana
®V.ORBIT DRA®.SPEARMINT 14 g;4216;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;50173822;Hrana
®VAKE ORBIT DRA®EJE FRESH.14 g;4231;Wrigley;0.0140;kg;0.99;70.71;;;02.05.2025;0.99;42069942;Hrana
®VAKE ORBIT SWEET MINT 14 g;4237;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;50173808;Hrana
ÈETK.ZA ZUBE AQUAFRESH ;4245;Aquafresh;1.0000;kom;2.69;2.69;;;02.05.2025;2.69;5054563932327;Kozmetika
ÈETK.ZA ZUBE AQUAFRESH DJ.;4267;Aquafresh;1.0000;kom;3.59;3.59;;;02.05.2025;3.59;5054563125439;Kozmetika
ÈETK.ZA ZUBE AQF.LITTLE TEETH;4269;Aquafresh;1.0000;kom;3.59;3.59;;;02.05.2025;3.59;5054563123619;Kozmetika
®VAKE AIRWAVES DRA®EJE 14 g;4289;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;50173167;Hrana
®VAKE AIRWAVES CR.RIB.DR.14 g;4291;Wrigley;0.0140;kg;.99;70.71;;;02.05.2025;.99;42070047;Hrana
®VAKE AIRWAVES BL.MINT DR.14 g;4297;Wrigley;0.0160;kg;.99;61.88;;;02.05.2025;.99;42101925;Hrana
TABLETE ZA ÈI©.PROTEZE COREGA;4314;Corega;30.0000;kom;6.19;0.21;;;02.05.2025;6.19;5054563213013;Kozmetika
KREMA COREGA EXTR.STRONG 40 ml;4320;Corega;1.0000;kom;5.99;5.99;;;02.05.2025;5.99;5999518572060;Kozmetika
ZUB.PASTA PARODONTAX 75 ml;4340;Parodontax;0.0750;L;5.85;78.00;;;02.05.2025;5.45;5054563949738;Kozmetika
ZUB.PASTA PARODONTAX 75 ml;4348;Parodontax;0.0750;L;5.85;78.00;;;02.05.2025;5.45;5054563058225;Kozmetika
ZUB.PASTA SENSODYNE 75 ml;4356;Sensodyne;0.0750;L;4.49;59.87;;;02.05.2025;3.95;3800132250550;Kozmetika
ZUB.PASTA SENSODYNE 75 ml;4379;Sensodyne;0.0750;L;4.49;59.87;;;02.05.2025;3.95;5054563042996;Kozmetika
CEDEVITA LIMUN 200 g;4388;Cedevita;0.2000;kg;2.09;10.45;;;02.05.2025;2.09;3850322003534;Piæa
UMAK CHIO TORTIL.SALSA 200 ml;4394;Chio;0.2000;l;3.49;17.45;;;02.05.2025;3.49;4001242108215;Hrana
NAMAZ STDALFOUR MARELICA 284 g;4397;St Dalfour;0.2840;kg;4.69;16.51;;;02.05.2025;4.69;3492390007290;Hrana
NAMAZ ST.DALFOUR JAGODA 284 g;4407;St Dalfour;0.2840;kg;4.69;16.51;;;02.05.2025;4.69;3492390007443;Hrana
SRE.FROSCH PROTIV KAMENCA 1 L ;4408;Frosch;1.0000;L;;2.39;2.39;2.99;02.05.2025;2.99;4009175138965;Sredstva za èi¹æenje
NAM.ST.DALFOUR 4 VR.VOÆ.284 g ;4413;St Dalfour;0.2840;kg;4.69;16.51;;;02.05.2025;4.69;3492390007382;Hrana
NAMA.ST.DALFOUR BRUS.BOR.284 g;4415;St Dalfour;0.2840;kg;4.99;17.57;;;02.05.2025;4.99;3492390007320;Hrana
LOSION ERDAL ZA KO®U 500 ml;4417;Erdal;0.5000;L;5.97;11.94;;;02.05.2025;5.97;4009175163479;Proizvodi za kuæanstvo
NAM.ST.DALFOUR CR.RIBIZL 284 g;4419;St Dalfour;0.2840;kg;4.69;16.51;;;02.05.2025;4.69;3492390007313;Hrana
PANIR.SURIMI RAÈIÆI VICI 170 g;4428;Vici;0.1700;kg;2.29;13.47;;;02.05.2025;2.29;4770190036214;Hrana
KREMA ERDAL CRNA U TUBI 60 ml;4432;Erdal;0.0600;L;2.35;39.17;;;02.05.2025;2.35;4009175111531;Proizvodi za kuæanstvo
KREMA ERDAL CRNA 55 ml;4435;Erdal;0.0550;L;1.95;35.45;;;02.05.2025;1.95;4009175111449;Proizvodi za kuæanstvo
BOMBONI RONDO C CLASSIC 28 g;4446;Rondo C;0.0280;kg;0.59;21.07;;;02.05.2025;0.59;38502934;Hrana
SPREJ ERDAL NEUTRAL 250 ml ;4461;Erdal;0.2500;L;3.85;15.40;;;02.05.2025;3.85;4009175163585;Proizvodi za kuæanstvo
KRASTAVCI DROGA 670 g;4494;Droga Kolinska;0.3500;kg;2.79;7.97;;;02.05.2025;2.79;3830042561934;Hrana
PAPRIKA DROGA FILETI 620 g;4503;Droga Kolinska;0.3600;kg;3.19;8.86;;;02.05.2025;3.19;3830042562337;Hrana
CIKLA DROGA 670 g;4508;Droga Kolinska;0.4000;kg;2.49;6.23;;;02.05.2025;2.49;3830042562375;Hrana
Blitva rfs;4510;;1.0000;kg;1.59;1.59;;;02.05.2025;2.49;3858893251552;Hrana
Celer korijen;4517;;1.0000;kg;1.29;1.29;;;02.05.2025;1.19;3858885876312;Hrana
Celer list;4518;;1.0000;kg;3.99;3.99;;;02.05.2025;3.99;845;Hrana
Ðumbir rfs;4524;;1.0000;kg;;3.29;3.29;3.99;02.05.2025;4.49;3858885879207;Hrana
AROMA BANANA AROMAR 15 ml;4563;Aromar;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333062;Hrana
AROMA JAGODA AROMAR 15 ml;4581;Aromar;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333031;Hrana
AROMA MALINA AROMAR 15 ml;4587;;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333048;Hrana
AROMA NARANÈA AROMAR 15 ml;4590;;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333109;Hrana
AROMA RUM AROMAR 15 ml ;4592;Aromar;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333017;Hrana
AROMA VANILIJA AROMAR 15 ml;4594;Aromar;0.0150;l;1.59;106.00;;;02.05.2025;1.59;3859888333024;Hrana
OCAT VINSKI KISKO  0,5 L 6%;4628;Kisko;0.5000;l;1.49;2.98;;;02.05.2025;1.49;3850164321148;Hrana
OCAT VINSKI KISKO 6% 1 L;4638;Kisko;1.0000;l;2.09;2.09;;;02.05.2025;2.09;3850164321117;Hrana
OCAT JABUÈNI KISKO 0,5L 5%;4642;Kisko;0.5000;l;1.49;2.98;;;02.05.2025;1.49;3850164340149;Hrana
OCAT JABUÈNI KISKO 5% 1 L;4644;Kisko;1.0000;l;2.09;2.09;;;02.05.2025;2.09;3850164340118;Hrana
OCAT ALKOHOLNI KISKO 9% 1 L;4648;Kisko;1.0000;l;1.29;1.29;;;02.05.2025;1.29;3850164310111;Hrana
OCAT ALKOHOLNI KISKO 9% 3 L;4651;Kisko;3.0000;l;3.59;1.20;;;02.05.2025;3.59;3850164310180;Hrana
OCAT ALKOHOLNI KISKO 9% 5 L;4655;Kisko;5.0000;l;5.59;1.12;;;02.05.2025;5.59;3850164310197;Hrana
OCAT ALKOHOLNI KISKO 9% 0,5 L;4657;Kisko;0.5000;l;1.05;2.10;;;02.05.2025;1.05;3850164310142;Hrana
OCAT VINSKI KISKO 6% 1 L;4659;Kisko;1.0000;l;2.09;2.09;;;02.05.2025;2.09;3850164331116;Hrana
ZAÈIN ORIGANO ©AFRAM 150g;4676;Safram;0.1500;kg;2.91;19.40;;;02.05.2025;2.91;3859888163225;Hrana
BADEM NPS NATURA 100 g;4690;Natura;0.1000;kg;2.49;24.90;;;02.05.2025;2.49;3859890587309;Hrana
PI©KOTE MANNER 200 g;4704;Manner;0.2000;kg;2.89;14.45;;;02.05.2025;2.89;9000331608013;Hrana
